cpf;data;indice_cardiaco
696.077.059-98;1622556520;0.698167
696.077.059-98;1622519361;0.10904
696.077.059-98;1622562454;0.385429
696.077.059-98;1622591259;0.712176
696.077.059-98;1622522111;0.342819
696.077.059-98;1622524753;0.698142
696.077.059-98;1620017065;0.594895
696.077.059-98;1620049465;0.993906
696.077.059-98;1620065180;0.596912
696.077.059-98;1620056344;0.517149
696.077.059-98;1620020942;0.58114
696.077.059-98;1620081360;0.729271
696.077.059-98;1620039131;0.999128
696.077.059-98;1617542729;0.97215
696.077.059-98;1617533876;0.855944
696.077.059-98;1617580077;0.848322
696.077.059-98;1617579946;0.282835
696.077.059-98;1617517309;0.25278
696.077.059-98;1617529413;0.315377
696.077.059-98;1617555332;0.455466
696.077.059-98;1622825307;0.172059
696.077.059-98;1622835125;0.007498
696.077.059-98;1622817343;0.906759
696.077.059-98;1622817560;0.224693
696.077.059-98;1622842378;0.032812
696.077.059-98;1622858463;0.325857
696.077.059-98;1622783157;0.280989
696.077.059-98;1622785949;0.968093
696.077.059-98;1620386017;0.695568
696.077.059-98;1620418043;0.04183
696.077.059-98;1620416641;0.344439
696.077.059-98;1620428965;0.578556
696.077.059-98;1618039520;0.891886
696.077.059-98;1618083120;0.376428
696.077.059-98;1618071113;0.691896
696.077.059-98;1618082182;0.381532
696.077.059-98;1618059485;0.009268
696.077.059-98;1615603638;0.49236
696.077.059-98;1615581130;0.942592
696.077.059-98;1615578258;0.881471
696.077.059-98;1615593652;0.459283
696.077.059-98;1615631459;0.490392
696.077.059-98;1615665431;0.301381
696.077.059-98;1615611066;0.667105
696.077.059-98;1615663153;0.502195
696.077.059-98;1615677509;0.542639
696.077.059-98;1615642537;0.223565
696.077.059-98;1620887736;0.744772
696.077.059-98;1620956337;0.430863
696.077.059-98;1620897438;0.11365
696.077.059-98;1620949058;0.770311
696.077.059-98;1620948721;0.179489
696.077.059-98;1623573849;0.429354
696.077.059-98;1623582777;0.158201
696.077.059-98;1623634703;0.265269
696.077.059-98;1615772785;0.669695
696.077.059-98;1615706718;0.333882
696.077.059-98;1615709571;0.36484
696.077.059-98;1615700954;0.371135
696.077.059-98;1615775740;0.265678
696.077.059-98;1615757878;0.106135
696.077.059-98;1618505819;0.740774
696.077.059-98;1618463730;0.159212
696.077.059-98;1618525415;0.344666
696.077.059-98;1621518828;0.825197
696.077.059-98;1621507302;0.625331
696.077.059-98;1621491627;0.366822
696.077.059-98;1621496432;0.902236
696.077.059-98;1621550255;0.574273
696.077.059-98;1621519592;0.988097
696.077.059-98;1621535439;0.563164
696.077.059-98;1621516752;0.140005
696.077.059-98;1624266719;0.139273
696.077.059-98;1624303981;0.53665
696.077.059-98;1624253961;0.21428
696.077.059-98;1624318152;0.495699
696.077.059-98;1624324540;0.997639
696.077.059-98;1617121793;0.313731
696.077.059-98;1617136527;0.387145
696.077.059-98;1617138000;0.34233
696.077.059-98;1617078628;0.984066
696.077.059-98;1617108012;0.677068
696.077.059-98;1617154379;0.089731
696.077.059-98;1617103046;0.24824
