cpf;data;indice_pulmonar
696.077.059-98;1622533559;0.426179
696.077.059-98;1622597686;0.051115
696.077.059-98;1622542476;0.714486
696.077.059-98;1622567594;0.039594
696.077.059-98;1622517905;0.984517
696.077.059-98;1622592340;0.582396
696.077.059-98;1622575033;0.452116
696.077.059-98;1622539117;0.293293
696.077.059-98;1620013042;0.52147
696.077.059-98;1620063589;0.49404
696.077.059-98;1620038412;0.073274
696.077.059-98;1620015379;0.868959
696.077.059-98;1620047035;0.513274
696.077.059-98;1617570813;0.942453
696.077.059-98;1617550076;0.646204
696.077.059-98;1617530186;0.886601
696.077.059-98;1617577002;0.642653
696.077.059-98;1617515589;0.689076
696.077.059-98;1617525691;0.248293
696.077.059-98;1617576716;0.962594
696.077.059-98;1617543616;0.257043
696.077.059-98;1617581073;0.832089
696.077.059-98;1617583952;0.75178
696.077.059-98;1617541767;0.576206
696.077.059-98;1622791473;0.588777
696.077.059-98;1622827992;0.861881
696.077.059-98;1622818296;0.784688
696.077.059-98;1622824163;0.639951
696.077.059-98;1622854173;0.903056
696.077.059-98;1622776433;0.03128
696.077.059-98;1622794923;0.439805
696.077.059-98;1622852683;0.885653
696.077.059-98;1620370977;0.60512
696.077.059-98;1620359323;0.318551
696.077.059-98;1620373867;0.942889
696.077.059-98;1620408273;0.558905
696.077.059-98;1620357885;0.148933
696.077.059-98;1620365452;0.5647
696.077.059-98;1620395962;0.497633
696.077.059-98;1620385600;0.074531
696.077.059-98;1620378565;0.488405
696.077.059-98;1620431111;0.682117
696.077.059-98;1620442220;0.91929
696.077.059-98;1618034795;0.324943
696.077.059-98;1618079323;0.582675
696.077.059-98;1618028973;0.248663
696.077.059-98;1618096216;0.747295
696.077.059-98;1618100459;0.029073
696.077.059-98;1615586884;0.72938
696.077.059-98;1615583552;0.600936
696.077.059-98;1615518230;0.892262
696.077.059-98;1615532559;0.938223
696.077.059-98;1615537478;0.72344
696.077.059-98;1615585635;0.716357
696.077.059-98;1615600102;0.187985
696.077.059-98;1615561565;0.843305
696.077.059-98;1615663206;0.390037
696.077.059-98;1615656803;0.74352
696.077.059-98;1615604850;0.433527
696.077.059-98;1615648090;0.947285
696.077.059-98;1615665542;0.889742
696.077.059-98;1615666564;0.803933
696.077.059-98;1620934201;0.113911
696.077.059-98;1620943860;0.552807
696.077.059-98;1620885512;0.172236
696.077.059-98;1620881798;0.17151
696.077.059-98;1620912123;0.02115
696.077.059-98;1620931011;0.167427
696.077.059-98;1620949676;0.987652
696.077.059-98;1623604592;0.35356
696.077.059-98;1623605695;0.07805
696.077.059-98;1623592035;0.402175
696.077.059-98;1623583841;0.355361
696.077.059-98;1623582890;0.082571
696.077.059-98;1623605664;0.807218
696.077.059-98;1623573721;0.085178
696.077.059-98;1615770563;0.444066
696.077.059-98;1615717055;0.021664
696.077.059-98;1615750450;0.648714
696.077.059-98;1615774234;0.57721
696.077.059-98;1615740902;0.597872
696.077.059-98;1615731593;0.145637
696.077.059-98;1615734995;0.25262
696.077.059-98;1615719566;0.545871
696.077.059-98;1615749722;0.097692
696.077.059-98;1618504533;0.676542
696.077.059-98;1618504194;0.484301
696.077.059-98;1618504583;0.482491
696.077.059-98;1618528702;0.876154
696.077.059-98;1621520403;0.497696
696.077.059-98;1621559524;0.943922
696.077.059-98;1621491250;0.580123
696.077.059-98;1621564809;0.917326
696.077.059-98;1624282270;0.872244
696.077.059-98;1624269935;0.069396
696.077.059-98;1624292713;0.621982
696.077.059-98;1624246188;0.769708
696.077.059-98;1624323041;0.096149
696.077.059-98;1624327531;0.396093
696.077.059-98;1624250797;0.503093
696.077.059-98;1624250618;0.870738
696.077.059-98;1624309605;0.059116
696.077.059-98;1624282236;0.805739
696.077.059-98;1617075271;0.853428
696.077.059-98;1617121407;0.102772
696.077.059-98;1617131147;0.749158
696.077.059-98;1617123887;0.711758
696.077.059-98;1617131823;0.71852
696.077.059-98;1617106771;0.090743
696.077.059-98;1617158998;0.128689
696.077.059-98;1617104512;0.07244
696.077.059-98;1617088962;0.677284
696.077.059-98;1617089826;0.883317
696.077.059-98;1617099605;0.562969
